Cidade,Transportadora,UF,Prazo,Capital/Interior
AMERICANA,RODONAVES,SP,6,INTERIOR
NOVA ODESSA,RODONAVES,SP,6,INTERIOR
SANTA BARBARA D OESTE,RODONAVES,SP,6,INTERIOR
ANAPOLIS,RODONAVES,GO,7,INTERIOR
GOIANAPOLIS,RODONAVES,GO,10,INTERIOR
TEREZOPOLIS DE GOIAS,RODONAVES,GO,10,INTERIOR
ANDRADINA,RODONAVES,SP,7,INTERIOR
CASTILHO,RODONAVES,SP,9,INTERIOR
GUARACAI,RODONAVES,SP,8,INTERIOR
ITAPURA,RODONAVES,SP,11,INTERIOR
LAVINIA,RODONAVES,SP,8,INTERIOR
MIRANDOPOLIS,RODONAVES,SP,8,INTERIOR
MURUTINGA DO SUL,RODONAVES,SP,8,INTERIOR
NOVA INDEPENDENCIA,RODONAVES,SP,9,INTERIOR
ARACATUBA,RODONAVES,SP,6,INTERIOR
BENTO DE ABREU,RODONAVES,SP,9,INTERIOR
BILAC,RODONAVES,SP,11,INTERIOR
BIRIGUI,RODONAVES,SP,6,INTERIOR
BRAUNA,RODONAVES,SP,11,INTERIOR
BREJO ALEGRE,RODONAVES,SP,11,INTERIOR
BURITAMA,RODONAVES,SP,9,INTERIOR
CLEMENTINA,RODONAVES,SP,11,INTERIOR
COROADOS,RODONAVES,SP,11,INTERIOR
GABRIEL MONTEIRO,RODONAVES,SP,11,INTERIOR
GLICERIO,RODONAVES,SP,11,INTERIOR
GUARARAPES,RODONAVES,SP,7,INTERIOR
LOURDES,RODONAVES,SP,11,INTERIOR
PIACATU,RODONAVES,SP,11,INTERIOR
PLANALTO,RODONAVES,SP,11,INTERIOR
RUBIACEA,RODONAVES,SP,9,INTERIOR
SANTO ANTONIO DO ARACANGUA,RODONAVES,SP,12,INTERIOR
SANTOPOLIS DO AGUAPEI,RODONAVES,SP,11,INTERIOR
TURIUBA,RODONAVES,SP,11,INTERIOR
VALPARAISO,RODONAVES,SP,7,INTERIOR
ZACARIAS,RODONAVES,SP,11,INTERIOR
ARARAS,RODONAVES,SP,6,INTERIOR
ALEGRETE,RODONAVES,RS,10,INTERIOR
MANOEL VIANA,RODONAVES,RS,10,INTERIOR
QUARAI,RODONAVES,RS,13,INTERIOR
ALFENAS,RODONAVES,MG,6,INTERIOR
DIVISA NOVA,RODONAVES,MG,11,INTERIOR
MONTE BELO,RODONAVES,MG,6,INTERIOR
SAO JOSE DA BARRA,RODONAVES,MG,11,INTERIOR
AMERICO BRASILIENSE,RODONAVES,SP,6,INTERIOR
ARARAQUARA,RODONAVES,SP,6,INTERIOR
BOA ESPERANCA DO SUL,RODONAVES,SP,9,INTERIOR
GAVIAO PEIXOTO,RODONAVES,SP,8,INTERIOR
NOVA EUROPA,RODONAVES,SP,8,INTERIOR
RINCAO,RODONAVES,SP,9,INTERIOR
SANTA LUCIA,RODONAVES,SP,9,INTERIOR
TRABIJU,RODONAVES,SP,9,INTERIOR
AGUAS DE LINDOIA,RODONAVES,SP,6,INTERIOR
AMPARO,RODONAVES,SP,6,INTERIOR
ARCADAS,RODONAVES,SP,7,INTERIOR
JAGUARIUNA,RODONAVES,SP,6,INTERIOR
LINDOIA,RODONAVES,SP,6,INTERIOR
MONTE ALEGRE DO SUL,RODONAVES,SP,10,INTERIOR
MONTE SIAO,RODONAVES,MG,6,INTERIOR
PEDREIRA,RODONAVES,SP,6,INTERIOR
SERRA NEGRA,RODONAVES,SP,6,INTERIOR
CARVALHOPOLIS,RODONAVES,MG,17,INTERIOR
COQUEIRAL,RODONAVES,MG,21,INTERIOR
CORDISLANDIA,RODONAVES,MG,21,INTERIOR
FAMA,RODONAVES,MG,7,INTERIOR
SANTANA DA VARGEM,RODONAVES,MG,21,INTERIOR
SAO BENTO ABADE,RODONAVES,MG,21,INTERIOR
SAO THOME DAS LETRAS,RODONAVES,MG,21,INTERIOR
APUCARANA,RODONAVES,PR,7,INTERIOR
ARAPONGAS,RODONAVES,PR,7,INTERIOR
CALIFORNIA,RODONAVES,PR,7,INTERIOR
CAMBIRA,RODONAVES,PR,7,INTERIOR
MARILANDIA DO SUL,RODONAVES,PR,11,INTERIOR
NOVO ITACOLOMI,RODONAVES,PR,11,INTERIOR
RIO BOM,RODONAVES,PR,11,INTERIOR
SABAUDIA,RODONAVES,PR,9,INTERIOR
ASSIS,RODONAVES,SP,6,INTERIOR
CANDIDO MOTA,RODONAVES,SP,6,INTERIOR
CRUZALIA,RODONAVES,SP,9,INTERIOR
ECHAPORA,RODONAVES,SP,11,INTERIOR
FLORINEA,RODONAVES,SP,10,INTERIOR
GARDENIA,RODONAVES,SP,11,INTERIOR
IEPE,RODONAVES,SP,11,INTERIOR
JOAO RAMALHO,RODONAVES,SP,8,INTERIOR
MARACAI,RODONAVES,SP,9,INTERIOR
NANTES,RODONAVES,SP,11,INTERIOR
NOVA ALEXANDRIA,RODONAVES,SP,7,INTERIOR
PALMITAL,RODONAVES,SP,6,INTERIOR
PARAGUACU PAULISTA,RODONAVES,SP,7,INTERIOR
PEDRINHAS PAULISTA,RODONAVES,SP,9,INTERIOR
PLATINA,RODONAVES,SP,7,INTERIOR
QUATA,RODONAVES,SP,8,INTERIOR
RANCHARIA,RODONAVES,SP,7,INTERIOR
TARUMA,RODONAVES,SP,7,INTERIOR
ARAXA,RODONAVES,MG,6,INTERIOR
IBIA,RODONAVES,MG,9,INTERIOR
PERDIZES,RODONAVES,MG,7,INTERIOR
SACRAMENTO,RODONAVES,MG,6,INTERIOR
TAPIRA,RODONAVES,MG,8,INTERIOR
AGUAS DE SANTA BARBARA,RODONAVES,SP,8,INTERIOR
ARANDU,RODONAVES,SP,8,INTERIOR
AVARE,RODONAVES,SP,6,INTERIOR
CERQUEIRA CESAR,RODONAVES,SP,6,INTERIOR
IARAS,RODONAVES,SP,8,INTERIOR
ITAI,RODONAVES,SP,6,INTERIOR
PARANAPANEMA,RODONAVES,SP,6,INTERIOR
ACEGUA,RODONAVES,RS,13,INTERIOR
BAGE,RODONAVES,RS,8,INTERIOR
CANDIOTA,RODONAVES,RS,13,INTERIOR
DOM PEDRITO,RODONAVES,RS,10,INTERIOR
HULHA NEGRA,RODONAVES,RS,13,INTERIOR
PEDRAS ALTAS,RODONAVES,RS,13,INTERIOR
PINHEIRO MACHADO,RODONAVES,RS,13,INTERIOR
ALFREDO VASCONCELOS,RODONAVES,MG,11,INTERIOR
ALTO RIO DOCE,RODONAVES,MG,17,INTERIOR
ANTONIO CARLOS,RODONAVES,MG,11,INTERIOR
ARACITABA,RODONAVES,MG,17,INTERIOR
BARBACENA,RODONAVES,MG,7,INTERIOR
BIAS FORTES,RODONAVES,MG,17,INTERIOR
CAPELA NOVA,RODONAVES,MG,17,INTERIOR
CIPOTANEA,RODONAVES,MG,17,INTERIOR
DESTERRO DO MELO,RODONAVES,MG,17,INTERIOR
IBERTIOGA,RODONAVES,MG,17,INTERIOR
OLIVEIRA FORTES,RODONAVES,MG,17,INTERIOR
PAIVA,RODONAVES,MG,17,INTERIOR
RESSAQUINHA,RODONAVES,MG,11,INTERIOR
SANTA BARBARA DO TUGURIO,RODONAVES,MG,17,INTERIOR
SANTA RITA DO IBITIPOCA,RODONAVES,MG,17,INTERIOR
SANTANA DO GARAMBEU,RODONAVES,MG,17,INTERIOR
SENHORA DOS REMEDIOS,RODONAVES,MG,17,INTERIOR
BORDA DA MATA,RODONAVES,MG,7,INTERIOR
BUENO BRANDAO,RODONAVES,MG,9,INTERIOR
INCONFIDENTES,RODONAVES,MG,7,INTERIOR
OURO FINO,RODONAVES,MG,7,INTERIOR
TOCOS DO MOJI,RODONAVES,MG,11,INTERIOR
ALTAIR,RODONAVES,SP,11,INTERIOR
BAGUACU,RODONAVES,SP,11,INTERIOR
BARRETOS,RODONAVES,SP,6,INTERIOR
CAJOBI,RODONAVES,SP,9,INTERIOR
GUARACI,RODONAVES,SP,11,INTERIOR
MARCONDESIA,RODONAVES,SP,9,INTERIOR
MONTE VERDE PAULISTA,RODONAVES,SP,9,INTERIOR
OLIMPIA,RODONAVES,SP,7,INTERIOR
SEVERINIA,RODONAVES,SP,9,INTERIOR
AGUDOS,RODONAVES,SP,6,INTERIOR
BAURU,RODONAVES,SP,6,INTERIOR
BOREBI,RODONAVES,SP,11,INTERIOR
CABRALIA PAULISTA,RODONAVES,SP,11,INTERIOR
DUARTINA,RODONAVES,SP,8,INTERIOR
LUCIANOPOLIS,RODONAVES,SP,11,INTERIOR
MACATUBA,RODONAVES,SP,6,INTERIOR
PEDERNEIRAS,RODONAVES,SP,6,INTERIOR
PIRATININGA,RODONAVES,SP,9,INTERIOR
APIUNA,RODONAVES,SC,11,INTERIOR
ASCURRA,RODONAVES,SC,11,INTERIOR
BENEDITO NOVO,RODONAVES,SC,11,INTERIOR
BLUMENAU,RODONAVES,SC,7,INTERIOR
DOUTOR PEDRINHO,RODONAVES,SC,10,INTERIOR
GASPAR,RODONAVES,SC,7,INTERIOR
INDAIAL,RODONAVES,SC,7,INTERIOR
LUIZ ALVES,RODONAVES,SC,7,INTERIOR
POMERODE,RODONAVES,SC,7,INTERIOR
RIO DOS CEDROS,RODONAVES,SC,11,INTERIOR
RODEIO,RODONAVES,SC,9,INTERIOR
TIMBO,RODONAVES,SC,7,INTERIOR
BOTUVERA,RODONAVES,SC,11,INTERIOR
BRUSQUE,RODONAVES,SC,7,INTERIOR
CANELINHA,RODONAVES,SC,7,INTERIOR
GUABIRUBA,RODONAVES,SC,7,INTERIOR
MAJOR GERCINO,RODONAVES,SC,11,INTERIOR
NOVA TRENTO,RODONAVES,SC,9,INTERIOR
SAO JOAO BATISTA,RODONAVES,SC,9,INTERIOR
TIJUCAS,RODONAVES,SC,7,INTERIOR
BEBEDOURO,RODONAVES,SP,6,INTERIOR
BOTAFOGO,RODONAVES,SP,7,INTERIOR
CANDIDO RODRIGUES,RODONAVES,SP,11,INTERIOR
COLINA,RODONAVES,SP,6,INTERIOR
FERNANDO PRESTES,RODONAVES,SP,11,INTERIOR
IBITIUVA,RODONAVES,SP,7,INTERIOR
JABORANDI,RODONAVES,SP,7,INTERIOR
MONTE AZUL PAULISTA,RODONAVES,SP,6,INTERIOR
PIRANGI,RODONAVES,SP,8,INTERIOR
PITANGUEIRAS,RODONAVES,SP,7,INTERIOR
TAIACU,RODONAVES,SP,8,INTERIOR
TAIUVA,RODONAVES,SP,8,INTERIOR
TAQUARAL,RODONAVES,SP,8,INTERIOR
TERRA ROXA,RODONAVES,SP,7,INTERIOR
VIRADOURO,RODONAVES,SP,7,INTERIOR
VISTA ALEGRE DO ALTO,RODONAVES,SP,8,INTERIOR
BELO HORIZONTE,RODONAVES,MG,9,CAPITAL
BETIM,RODONAVES,MG,9,CAPITAL
BRUMADINHO,RODONAVES,MG,11,CAPITAL
CAETE,RODONAVES,MG,13,CAPITAL
CONFINS,RODONAVES,MG,9,CAPITAL
CONTAGEM,RODONAVES,MG,9,CAPITAL
ESMERALDAS,RODONAVES,MG,13,CAPITAL
FLORESTAL,RODONAVES,MG,13,CAPITAL
IBIRITE,RODONAVES,MG,9,CAPITAL
IGARAPE,RODONAVES,MG,13,CAPITAL
ITABIRITO,RODONAVES,MG,13,CAPITAL
ITATIAIUCU,RODONAVES,MG,13,CAPITAL
JUATUBA,RODONAVES,MG,13,CAPITAL
LAGOA SANTA,RODONAVES,MG,9,CAPITAL
MARIO CAMPOS,RODONAVES,MG,11,CAPITAL
MATEUS LEME,RODONAVES,MG,13,CAPITAL
NOVA LIMA,RODONAVES,MG,9,CAPITAL
NOVA UNIAO,RODONAVES,MG,13,CAPITAL
RAPOSOS,RODONAVES,MG,13,CAPITAL
RAVENA,RODONAVES,MG,13,CAPITAL
RIBEIRAO DAS NEVES,RODONAVES,MG,9,CAPITAL
RIO ACIMA,RODONAVES,MG,13,CAPITAL
SABARA,RODONAVES,MG,13,CAPITAL
SANTA LUZIA,RODONAVES,MG,9,CAPITAL
SAO JOAQUIM DE BICAS,RODONAVES,MG,13,CAPITAL
SARZEDO,RODONAVES,MG,11,CAPITAL
VESPASIANO,RODONAVES,MG,9,CAPITAL
ATIBAIA,RODONAVES,SP,6,INTERIOR
BATATUBA,RODONAVES,SP,10,INTERIOR
BOM JESUS DOS PERDOES,RODONAVES,SP,8,INTERIOR
BRAGANCA PAULISTA,RODONAVES,SP,6,INTERIOR
MORUNGABA,RODONAVES,SP,10,INTERIOR
NAZARE PAULISTA,RODONAVES,SP,8,INTERIOR
PEDRA BELA,RODONAVES,SP,10,INTERIOR
PINHALZINHO,RODONAVES,SP,6,INTERIOR
PIRACAIA,RODONAVES,SP,10,INTERIOR
SOCORRO,RODONAVES,SP,6,INTERIOR
TUIUTI,RODONAVES,SP,10,INTERIOR
ANHEMBI,RODONAVES,SP,11,INTERIOR
APARECIDA DE SAO MANUEL,RODONAVES,SP,8,INTERIOR
AREIOPOLIS,RODONAVES,SP,6,INTERIOR
BOFETE,RODONAVES,SP,11,INTERIOR
BOTUCATU,RODONAVES,SP,6,INTERIOR
ITATINGA,RODONAVES,SP,8,INTERIOR
LENCOIS PAULISTA,RODONAVES,SP,6,INTERIOR
PARDINHO,RODONAVES,SP,11,INTERIOR
PRATANIA,RODONAVES,SP,8,INTERIOR
SANTA MARIA DA SERRA,RODONAVES,SP,11,INTERIOR
SAO MANUEL,RODONAVES,SP,6,INTERIOR
AGUAS LINDAS DE GOIAS,RODONAVES,GO,9,INTERIOR
CIDADE OCIDENTAL,RODONAVES,GO,8,INTERIOR
FORMOSA,RODONAVES,GO,7,INTERIOR
LUZIANIA,RODONAVES,GO,8,INTERIOR
NOVO GAMA,RODONAVES,GO,8,INTERIOR
PADRE BERNARDO,RODONAVES,GO,10,INTERIOR
PLANALTINA,RODONAVES,GO,10,INTERIOR
VALPARAISO DE GOIAS,RODONAVES,GO,8,INTERIOR
CAMPINAS,RODONAVES,SP,6,INTERIOR
COSMOPOLIS,RODONAVES,SP,6,INTERIOR
HORTOLANDIA,RODONAVES,SP,6,INTERIOR
MONTE MOR,RODONAVES,SP,6,INTERIOR
NOVA VENEZA,RODONAVES,SP,6,INTERIOR
PAULINIA,RODONAVES,SP,6,INTERIOR
SUMARE,RODONAVES,SP,6,INTERIOR
BOA ESPERANCA,RODONAVES,MG,6,INTERIOR
CAMPO DO MEIO,RODONAVES,MG,7,INTERIOR
CAMPOS GERAIS,RODONAVES,MG,6,INTERIOR
GUAPE,RODONAVES,MG,11,INTERIOR
ILICINEA,RODONAVES,MG,11,INTERIOR
ANAHY,RODONAVES,PR,11,INTERIOR
ASSIS CHATEAUBRIAND,RODONAVES,PR,10,INTERIOR
BOA VISTA DA APARECIDA,RODONAVES,PR,9,INTERIOR
BRAGANEY,RODONAVES,PR,11,INTERIOR
CAFELANDIA,RODONAVES,PR,9,INTERIOR
CAMPO BONITO,RODONAVES,PR,11,INTERIOR
CAPITAO LEONIDAS MARQUES,RODONAVES,PR,9,INTERIOR
CASCAVEL,RODONAVES,PR,7,INTERIOR
CATANDUVAS,RODONAVES,PR,9,INTERIOR
CORBELIA,RODONAVES,PR,9,INTERIOR
DIAMANTE DO SUL,RODONAVES,PR,12,INTERIOR
ESPIGAO ALTO DO IGUACU,RODONAVES,PR,10,INTERIOR
FORMOSA DO OESTE,RODONAVES,PR,11,INTERIOR
GUARANIACU,RODONAVES,PR,9,INTERIOR
IBEMA,RODONAVES,PR,9,INTERIOR
IGUATU,RODONAVES,PR,11,INTERIOR
IRACEMA DO OESTE,RODONAVES,PR,11,INTERIOR
JESUITAS,RODONAVES,PR,11,INTERIOR
LINDOESTE,RODONAVES,PR,9,INTERIOR
NOVA AURORA,RODONAVES,PR,9,INTERIOR
QUEDAS DO IGUACU,RODONAVES,PR,10,INTERIOR
SANTA LUCIA,RODONAVES,PR,11,INTERIOR
SANTA TEREZA DO OESTE,RODONAVES,PR,9,INTERIOR
TRES BARRAS DO PARANA,RODONAVES,PR,9,INTERIOR
TUPASSI,RODONAVES,PR,9,INTERIOR
AGUANIL,RODONAVES,MG,11,INTERIOR
CAMPO BELO,RODONAVES,MG,7,INTERIOR
CANDEIAS,RODONAVES,MG,9,INTERIOR
CRISTAIS,RODONAVES,MG,11,INTERIOR
CATALAO,RODONAVES,GO,7,INTERIOR
GOIANDIRA,RODONAVES,GO,7,INTERIOR
IPAMERI,RODONAVES,GO,11,INTERIOR
OUVIDOR,RODONAVES,GO,7,INTERIOR
PIRES DO RIO,RODONAVES,GO,11,INTERIOR
URUTAI,RODONAVES,GO,11,INTERIOR
ARIRANHA,RODONAVES,SP,7,INTERIOR
CATANDUVA,RODONAVES,SP,6,INTERIOR
CATIGUA,RODONAVES,SP,9,INTERIOR
ELISIARIO,RODONAVES,SP,7,INTERIOR
EMBAUBA,RODONAVES,SP,9,INTERIOR
IBIRA,RODONAVES,SP,6,INTERIOR
IRAPUA,RODONAVES,SP,9,INTERIOR
ITAJOBI,RODONAVES,SP,6,INTERIOR
MARAPOAMA,RODONAVES,SP,6,INTERIOR
NOVAIS,RODONAVES,SP,9,INTERIOR
PALMARES PAULISTA,RODONAVES,SP,9,INTERIOR
PARAISO,RODONAVES,SP,9,INTERIOR
PINDORAMA,RODONAVES,SP,6,INTERIOR
SALES,RODONAVES,SP,9,INTERIOR
SANTA ADELIA,RODONAVES,SP,6,INTERIOR
TABAPUA,RODONAVES,SP,9,INTERIOR
URUPES,RODONAVES,SP,6,INTERIOR
ALPINOPOLIS,RODONAVES,MG,8,INTERIOR
ALTEROSA,RODONAVES,MG,6,INTERIOR
AREADO,RODONAVES,MG,7,INTERIOR
CARMO DO RIO CLARO,RODONAVES,MG,6,INTERIOR
CONCEICAO DA APARECIDA,RODONAVES,MG,6,INTERIOR
CIANORTE,RODONAVES,PR,7,INTERIOR
CIDADE GAUCHA,RODONAVES,PR,9,INTERIOR
GUAPOREMA,RODONAVES,PR,9,INTERIOR
INDIANOPOLIS,RODONAVES,PR,9,INTERIOR
JAPURA,RODONAVES,PR,9,INTERIOR
JUSSARA,RODONAVES,PR,11,INTERIOR
RONDON,RODONAVES,PR,9,INTERIOR
SAO MANOEL DO PARANA,RODONAVES,PR,11,INTERIOR
SAO TOME,RODONAVES,PR,9,INTERIOR
TAPEJARA,RODONAVES,PR,8,INTERIOR
TAPIRA,RODONAVES,PR,9,INTERIOR
TERRA BOA,RODONAVES,PR,8,INTERIOR
TUNEIRAS DO OESTE,RODONAVES,PR,11,INTERIOR
BELO VALE,RODONAVES,MG,19,INTERIOR
CARANAIBA,RODONAVES,MG,19,INTERIOR
CARANDAI,RODONAVES,MG,13,INTERIOR
CASA GRANDE,RODONAVES,MG,19,INTERIOR
CATAS ALTAS DA NORUEGA,RODONAVES,MG,19,INTERIOR
CONGONHAS,RODONAVES,MG,10,INTERIOR
CONSELHEIRO LAFAIETE,RODONAVES,MG,9,INTERIOR
CRISTIANO OTONI,RODONAVES,MG,13,INTERIOR
DESTERRO DE ENTRE RIOS,RODONAVES,MG,19,INTERIOR
ENTRE RIOS DE MINAS,RODONAVES,MG,13,INTERIOR
ITAVERAVA,RODONAVES,MG,19,INTERIOR
JECEABA,RODONAVES,MG,13,INTERIOR
LAMIM,RODONAVES,MG,19,INTERIOR
MARIANA,RODONAVES,MG,9,INTERIOR
OURO BRANCO,RODONAVES,MG,10,INTERIOR
OURO PRETO,RODONAVES,MG,9,INTERIOR
QUELUZITO,RODONAVES,MG,17,INTERIOR
RIO ESPERA,RODONAVES,MG,19,INTERIOR
SANTANA DOS MONTES,RODONAVES,MG,19,INTERIOR
SAO BRAS DO SUACUI,RODONAVES,MG,13,INTERIOR
SENHORA DE OLIVEIRA,RODONAVES,MG,19,INTERIOR
AIURUOCA,RODONAVES,MG,17,INTERIOR
ALAGOA,RODONAVES,MG,17,INTERIOR
BAEPENDI,RODONAVES,MG,7,INTERIOR
BOCAINA DE MINAS,RODONAVES,MG,17,INTERIOR
CARMO DE MINAS,RODONAVES,MG,9,INTERIOR
CARVALHOS,RODONAVES,MG,17,INTERIOR
CAXAMBU,RODONAVES,MG,7,INTERIOR
CONCEICAO DO RIO VERDE,RODONAVES,MG,9,INTERIOR
CRUZILIA,RODONAVES,MG,8,INTERIOR
DOM VICOSO,RODONAVES,MG,21,INTERIOR
ITAMONTE,RODONAVES,MG,7,INTERIOR
ITANHANDU,RODONAVES,MG,7,INTERIOR
LIBERDADE,RODONAVES,MG,17,INTERIOR
MINDURI,RODONAVES,MG,11,INTERIOR
PASSA QUATRO,RODONAVES,MG,8,INTERIOR
PASSA VINTE,RODONAVES,MG,17,INTERIOR
POUSO ALTO,RODONAVES,MG,7,INTERIOR
SAO LOURENCO,RODONAVES,MG,7,INTERIOR
SAO SEBASTIAO DO RIO VERD,RODONAVES,MG,17,INTERIOR
SERITINGA,RODONAVES,MG,17,INTERIOR
SERRANOS,RODONAVES,MG,17,INTERIOR
SOLEDADE DE MINAS,RODONAVES,MG,9,INTERIOR
VIRGINIA,RODONAVES,MG,17,INTERIOR
CAJURU,RODONAVES,SP,6,INTERIOR
CASSIA DOS COQUEIROS,RODONAVES,SP,9,INTERIOR
CRAVINHOS,RODONAVES,SP,6,INTERIOR
LUIS ANTONIO,RODONAVES,SP,6,INTERIOR
SANTA CRUZ DA ESPERANCA,RODONAVES,SP,7,INTERIOR
SANTA ROSA DE VITERBO,RODONAVES,SP,6,INTERIOR
SAO SIMAO,RODONAVES,SP,6,INTERIOR
SERRA AZUL,RODONAVES,SP,9,INTERIOR
SERRANA,RODONAVES,SP,6,INTERIOR
BELO ORIENTE,RODONAVES,MG,13,INTERIOR
CORONEL FABRICIANO,RODONAVES,MG,10,INTERIOR
GUANHAES,RODONAVES,MG,14,INTERIOR
IPATINGA,RODONAVES,MG,10,INTERIOR
ITABIRA,RODONAVES,MG,11,INTERIOR
JOAO MONLEVADE,RODONAVES,MG,11,INTERIOR
SANTA BARBARA,RODONAVES,MG,14,INTERIOR
SANTANA DO PARAISO,RODONAVES,MG,13,INTERIOR
TIMOTEO,RODONAVES,MG,10,INTERIOR
ARARANGUA,RODONAVES,SC,7,INTERIOR
BALNEARIO ARROIO DO SILVA,RODONAVES,SC,7,INTERIOR
BALNEARIO GAIVOTA,RODONAVES,SC,7,INTERIOR
BALNEARIO RINCAO,RODONAVES,SC,7,INTERIOR
COCAL DO SUL,RODONAVES,SC,7,INTERIOR
CRICIUMA,RODONAVES,SC,7,INTERIOR
ERMO,RODONAVES,SC,7,INTERIOR
FORQUILHINHA,RODONAVES,SC,7,INTERIOR
ICARA,RODONAVES,SC,7,INTERIOR
JACINTO MACHADO,RODONAVES,SC,10,INTERIOR
MAMPITUBA,RODONAVES,RS,8,INTERIOR
MARACAJA,RODONAVES,SC,7,INTERIOR
MELEIRO,RODONAVES,SC,7,INTERIOR
MORRO DA FUMACA,RODONAVES,SC,7,INTERIOR
MORRO GRANDE,RODONAVES,SC,11,INTERIOR
NOVA VENEZA,RODONAVES,SC,7,INTERIOR
PASSO DE TORRES,RODONAVES,SC,8,INTERIOR
PRAIA GRANDE,RODONAVES,SC,8,INTERIOR
SANTA ROSA DO SUL,RODONAVES,SC,8,INTERIOR
SAO JOAO DO SUL,RODONAVES,SC,8,INTERIOR
SIDEROPOLIS,RODONAVES,SC,7,INTERIOR
SOMBRIO,RODONAVES,SC,7,INTERIOR
TIMBE DO SUL,RODONAVES,SC,11,INTERIOR
TREVISO,RODONAVES,SC,7,INTERIOR
TURVO,RODONAVES,SC,7,INTERIOR
URUSSANGA,RODONAVES,SC,7,INTERIOR
ADRIANOPOLIS,RODONAVES,PR,8,CAPITAL
AGUDOS DO SUL,RODONAVES,PR,8,CAPITAL
ALMIRANTE TAMANDARE,RODONAVES,PR,7,CAPITAL
ANTONINA,RODONAVES,PR,7,INTERIOR
ARAUCARIA,RODONAVES,PR,7,CAPITAL
BALSA NOVA,RODONAVES,PR,9,CAPITAL
BOCAIUVA DO SUL,RODONAVES,PR,8,CAPITAL
BORDA DO CAMPO,RODONAVES,PR,7,CAPITAL
CAMPINA GRANDE DO SUL,RODONAVES,PR,7,CAPITAL
CAMPO LARGO,RODONAVES,PR,7,CAPITAL
CAMPO MAGRO,RODONAVES,PR,7,CAPITAL
CERRO AZUL,RODONAVES,PR,8,CAPITAL
COLOMBO,RODONAVES,PR,7,CAPITAL
CONTENDA,RODONAVES,PR,7,CAPITAL
CURITIBA,RODONAVES,PR,7,CAPITAL
DOUTOR ULYSSES,RODONAVES,PR,8,CAPITAL
FAZENDA RIO GRANDE,RODONAVES,PR,7,CAPITAL
GUARAQUECABA,RODONAVES,PR,11,CAPITAL
GUARATUBA,RODONAVES,PR,11,INTERIOR
ITAPERUCU,RODONAVES,PR,7,CAPITAL
LAPA,RODONAVES,PR,7,CAPITAL
MANDIRITUBA,RODONAVES,PR,7,CAPITAL
MATINHOS,RODONAVES,PR,8,INTERIOR
MORRETES,RODONAVES,PR,7,INTERIOR
PARANAGUA,RODONAVES,PR,7,INTERIOR
PINHAIS,RODONAVES,PR,7,CAPITAL
PIRAQUARA,RODONAVES,PR,7,CAPITAL
PONTAL DO PARANA,RODONAVES,PR,7,INTERIOR
QUATRO BARRAS,RODONAVES,PR,7,CAPITAL
QUITANDINHA,RODONAVES,PR,7,CAPITAL
RIO BRANCO DO SUL,RODONAVES,PR,7,CAPITAL
SAO JOSE DOS PINHAIS,RODONAVES,PR,6,CAPITAL
TIJUCAS DO SUL,RODONAVES,PR,7,CAPITAL
TUNAS DO PARANA,RODONAVES,PR,8,CAPITAL
ALTAMIRA DO PARANA,RODONAVES,PR,11,INTERIOR
ARARUNA,RODONAVES,PR,8,INTERIOR
BARBOSA FERRAZ,RODONAVES,PR,11,INTERIOR
BOA ESPERANCA,RODONAVES,PR,11,INTERIOR
CAMPINA DA LAGOA,RODONAVES,PR,9,INTERIOR
CAMPO MOURAO,RODONAVES,PR,7,INTERIOR
CORUMBATAI DO SUL,RODONAVES,PR,11,INTERIOR
ENGENHEIRO BELTRAO,RODONAVES,PR,11,INTERIOR
FAROL,RODONAVES,PR,9,INTERIOR
FENIX,RODONAVES,PR,11,INTERIOR
GOIOERE,RODONAVES,PR,8,INTERIOR
IRETAMA,RODONAVES,PR,11,INTERIOR
JANIOPOLIS,RODONAVES,PR,9,INTERIOR
JURANDA,RODONAVES,PR,9,INTERIOR
LUIZIANA,RODONAVES,PR,11,INTERIOR
MAMBORE,RODONAVES,PR,9,INTERIOR
MARILUZ,RODONAVES,PR,11,INTERIOR
MATO RICO,RODONAVES,PR,11,INTERIOR
MOREIRA SALES,RODONAVES,PR,9,INTERIOR
NOVA CANTU,RODONAVES,PR,11,INTERIOR
NOVA TEBAS,RODONAVES,PR,11,INTERIOR
PARANA D'OESTE,RODONAVES,PR,12,INTERIOR
PEABIRU,RODONAVES,PR,8,INTERIOR
QUARTO CENTENARIO,RODONAVES,PR,12,INTERIOR
QUINTA DO SOL,RODONAVES,PR,11,INTERIOR
RANCHO ALEGRE D'OESTE,RODONAVES,PR,12,INTERIOR
RONCADOR,RODONAVES,PR,11,INTERIOR
UBIRATA,RODONAVES,PR,9,INTERIOR
CARMO DA MATA,RODONAVES,MG,9,INTERIOR
CARMO DO CAJURU,RODONAVES,MG,11,INTERIOR
CARMOPOLIS DE MINAS,RODONAVES,MG,11,INTERIOR
CLAUDIO,RODONAVES,MG,8,INTERIOR
DIVINOPOLIS,RODONAVES,MG,7,INTERIOR
ITAGUARA,RODONAVES,MG,11,INTERIOR
MARILANDIA,RODONAVES,MG,11,INTERIOR
MONSENHOR JOAO ALEXANDRE,RODONAVES,MG,11,INTERIOR
OLIVEIRA,RODONAVES,MG,8,INTERIOR
SANTO ANTONIO DOS CAMPOS,RODONAVES,MG,11,INTERIOR
